stop id,arrival time,route,trip id
2821,2018-04-18T10:29:19,801,2005971
4039,2018-04-18T10:29:49,801,2005753
591,2018-04-18T10:29:49,1,1985709
591,2018-04-18T10:30:49,803,2006702
591,2018-04-18T10:34:19,18,1987450
591,2018-04-18T10:34:49,801,2005754
559,2018-04-18T10:36:49,801,2005751
4039,2018-04-18T10:36:49,801,2005752
2821,2018-04-18T10:37:49,801,2005970
4039,2018-04-18T10:38:49,1,1985708
2821,2018-04-18T10:39:49,275,1989634
591,2018-04-18T10:41:19,801,2005753
610,2018-04-18T10:41:19,801,2005755
591,2018-04-18T10:41:49,803,2006701
591,2018-04-18T10:44:49,5,1994659
2821,2018-04-18T10:44:49,801,2005969
591,2018-04-18T10:49:49,801,2005752
610,2018-04-18T10:49:49,801,2005754
591,2018-04-18T10:50:19,803,2006700
559,2018-04-18T10:50:49,801,2005750
4039,2018-04-18T10:50:49,801,2005751
610,2018-04-18T10:50:49,1,1985709
2821,2018-04-18T10:50:49,240,1989219
591,2018-04-18T10:51:49,3,1989864
559,2018-04-18T10:52:49,1,1985707
591,2018-04-18T10:56:49,19,1987653
559,2018-04-18T10:58:49,801,2005749
2821,2018-04-18T10:58:49,801,2005755
591,2018-04-18T10:59:49,1,1985708
610,2018-04-18T10:59:49,801,2005753
591,2018-04-18T11:00:49,803,2006699
610,2018-04-18T11:03:49,801,2005752
591,2018-04-18T11:04:49,801,2005751
4039,2018-04-18T11:05:19,801,2005750
2821,2018-04-18T11:06:49,275,1989633
591,2018-04-18T11:07:49,18,1987449
2821,2018-04-18T11:07:49,801,2005754
4039,2018-04-18T11:08:49,1,1985707
559,2018-04-18T11:10:49,801,2005748
591,2018-04-18T11:10:49,803,2006698
4039,2018-04-18T11:12:49,801,2005749
591,2018-04-18T11:14:19,5,1994658
2821,2018-04-18T11:15:49,801,2005753
559,2018-04-18T11:16:49,801,2005747
591,2018-04-18T11:18:49,801,2005750
610,2018-04-18T11:18:49,1,1985708
591,2018-04-18T11:19:49,3,1989863
610,2018-04-18T11:19:49,801,2005751
559,2018-04-18T11:20:49,1,1985706
2821,2018-04-18T11:23:49,801,2005752
591,2018-04-18T11:24:19,1,1985707
591,2018-04-18T11:24:49,803,2006781
4039,2018-04-18T11:26:49,801,2005748
591,2018-04-18T11:26:49,801,2005749
559,2018-04-18T11:27:49,801,2005958
591,2018-04-18T11:28:49,803,2006780
4039,2018-04-18T11:30:49,801,2005747
610,2018-04-18T11:34:49,801,2005750
559,2018-04-18T11:36:49,801,2005957
2821,2018-04-18T11:36:49,275,1989632
4039,2018-04-18T11:37:51,1,1985706
2821,2018-04-18T11:37:51,240,1989218
591,2018-04-18T11:38:49,18,1987427
4039,2018-04-18T11:40:49,801,2005958
2821,2018-04-18T11:40:49,801,2005751
591,2018-04-18T11:41:49,801,2005748
591,2018-04-18T11:43:49,19,1987652
610,2018-04-18T11:43:49,801,2005749
591,2018-04-18T11:44:49,803,2006779
559,2018-04-18T11:45:19,801,2005956
591,2018-04-18T11:45:49,5,1994656
591,2018-04-18T11:47:19,801,2005747
610,2018-04-18T11:47:49,1,1985707
4039,2018-04-18T11:48:49,801,2005957
559,2018-04-18T11:50:49,1,1985705
2821,2018-04-18T11:51:49,801,2005750
591,2018-04-18T11:52:49,3,1989862
591,2018-04-18T11:53:49,803,2006778
591,2018-04-18T11:54:49,801,2005958
559,2018-04-18T11:58:19,801,2005955
4039,2018-04-18T12:00:49,801,2005956
591,2018-04-18T12:00:49,803,2006777
610,2018-04-18T12:00:49,801,2005748
610,2018-04-18T12:01:49,801,2005747
2821,2018-04-18T12:02:19,801,2005749
591,2018-04-18T12:02:49,801,2005957
591,2018-04-18T12:04:49,1,1985706
559,2018-04-18T12:05:49,801,2005954
2821,2018-04-18T12:06:49,275,1989631
610,2018-04-18T12:08:49,801,2005958
4039,2018-04-18T12:09:49,1,1985705
591,2018-04-18T12:10:49,18,1987448
4039,2018-04-18T12:11:49,801,2005955
591,2018-04-18T12:14:49,801,2005956
610,2018-04-18T12:14:49,801,2005957
559,2018-04-18T12:15:49,801,2005953
591,2018-04-18T12:15:49,803,2006776
591,2018-04-18T12:19:49,5,1994655
2821,2018-04-18T12:19:49,801,2005748
4039,2018-04-18T12:20:49,801,2005954
2821,2018-04-18T12:20:49,240,1989217
610,2018-04-18T12:22:49,1,1985706
591,2018-04-18T12:24:19,3,1989861
2821,2018-04-18T12:23:49,801,2005747
559,2018-04-18T12:24:49,1,1985704
591,2018-04-18T12:25:49,803,2006775
559,2018-04-18T12:26:19,801,2005740
591,2018-04-18T12:26:49,1,1985705
591,2018-04-18T12:27:49,801,2005955
610,2018-04-18T12:27:49,801,2005956
2821,2018-04-18T12:27:49,801,2005958
591,2018-04-18T12:29:49,19,1987651
4039,2018-04-18T12:30:49,801,2005953
591,2018-04-18T12:33:49,803,2006774
2821,2018-04-18T12:34:19,801,2005957
591,2018-04-18T12:35:19,801,2005954
559,2018-04-18T12:36:49,801,2005739
2821,2018-04-18T12:37:49,275,1989630
4039,2018-04-18T12:40:49,1,1985704
591,2018-04-18T12:41:49,18,1987447
4039,2018-04-18T12:43:19,801,2005740
610,2018-04-18T12:43:19,801,2005955
591,2018-04-18T12:43:49,803,2006773
591,2018-04-18T12:44:49,801,2005953
559,2018-04-18T12:45:19,801,2005738
2821,2018-04-18T12:45:49,801,2005956
591,2018-04-18T12:46:49,5,1994690
610,2018-04-18T12:47:49,1,1985705
591,2018-04-18T12:50:49,3,1989860
610,2018-04-18T12:50:49,801,2005954
4039,2018-04-18T12:53:49,801,2005739
591,2018-04-18T12:53:49,803,2006772
559,2018-04-18T12:54:19,1,1985703
559,2018-04-18T12:56:49,801,2005737
610,2018-04-18T12:58:49,801,2005953
591,2018-04-18T12:59:19,801,2005740
4039,2018-04-18T12:59:49,801,2005738
591,2018-04-18T12:59:49,1,1985704
591,2018-04-18T13:01:49,803,2006965
2821,2018-04-18T13:05:19,801,2005955
2821,2018-04-18T13:07:19,240,1989216
559,2018-04-18T13:07:49,801,2005736
2821,2018-04-18T13:07:49,275,1989629
591,2018-04-18T13:08:49,5,1994689
2821,2018-04-18T13:08:49,801,2005954
591,2018-04-18T13:09:49,801,2005739
4039,2018-04-18T13:11:49,1,1985703
591,2018-04-18T13:11:49,801,2005738
